old url,new url,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/alcohol_taxation.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_indirect.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_biographies.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/about/our-governance,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_releases.htm,https://www.gov.uk/government/announcements?keywords=&announcement_type_option=press-releases&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_smallbusinessreview_tor.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_vacancies.htm,https://jobsstatic.civilservice.gov.uk/csjobs.html,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_who_we_are.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/about/our-governance,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_03022012.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_07042011.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_071010.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_08122011.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_12052011.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_150910.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_171110.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_200111.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_22092011.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_23022011.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_29062011.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_minutes_index.htm,https://www.gov.uk/government/organisations/office-of-tax-simplification/series/ots-board-meetings,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_press_03032011.htm,https://www.gov.uk/government/announcements?keywords=&announcement_type_option=press-releases&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_press_10032011.htm,https://www.gov.uk/government/announcements?keywords=&announcement_type_option=press-releases&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_press_110711.htm,https://www.gov.uk/government/announcements?keywords=&announcement_type_option=press-releases&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_press_13122010.htm,https://www.gov.uk/government/announcements?keywords=&announcement_type_option=press-releases&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_press_22102010.htm,https://www.gov.uk/government/announcements?keywords=&announcement_type_option=press-releases&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_press_27012011.htm,https://www.gov.uk/government/announcements?keywords=&announcement_type_option=press-releases&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_press_27062011.htm,https://www.gov.uk/government/announcements?keywords=&announcement_type_option=press-releases&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_press_28022012.htm,https://www.gov.uk/government/announcements?keywords=&announcement_type_option=press-releases&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_press_ess_060312.htm,https://www.gov.uk/government/announcements?keywords=&announcement_type_option=press-releases&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_press_pt_060312.htm,https://www.gov.uk/government/announcements?keywords=&announcement_type_option=press-releases&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_employee_benefits_expenses.htm,https://www.gov.uk/government/publications/employee-benefits-and-expenses-review,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_essreview_committee.htm,https://www.gov.uk/government/publications/employee-benefits-and-expenses-review,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_essreview.htm,https://www.gov.uk/government/publications/employee-share-schemes-review,,,,,,,,,,,,,,,,,,,,,,,,
